iter	Passed	Remaining
0	2	217
1	4	213
2	6	205
3	7	189
4	9	187
5	11	183
6	13	179
7	15	180
8	17	176
9	19	172
10	21	170
11	23	169
12	25	167
13	26	165
14	28	163
15	30	161
16	32	159
17	34	156
18	36	154
19	38	153
20	40	152
21	42	149
22	44	148
23	46	146
24	48	145
25	50	142
26	52	141
27	54	139
28	56	137
29	58	136
30	60	134
31	62	132
32	64	130
33	66	128
34	68	127
35	70	125
36	72	123
37	74	121
38	76	119
39	78	117
40	80	115
41	81	112
42	82	109
43	84	106
44	85	104
45	86	101
46	88	99
47	89	97
48	90	94
49	91	91
50	93	89
51	94	86
52	95	84
53	96	82
54	97	79
55	98	77
56	99	74
57	100	72
58	101	70
59	102	68
60	103	65
61	104	63
62	105	61
63	105	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	111	45
71	112	43
72	113	41
73	113	40
74	114	38
75	115	36
76	116	34
77	116	32
78	117	31
79	118	29
80	118	27
81	119	26
82	120	24
83	121	23
84	121	21
85	122	19
86	123	18
87	124	16
88	124	15
89	125	13
90	126	12
91	126	11
92	127	9
93	128	8
94	128	6
95	129	5
96	130	4
97	130	2
98	131	1
99	132	0
